date,hs300,nasdaq100,gold,dividend,price_hs300,price_nasdaq100,price_gold,price_dividend,erp_pct,cn_10y_rate,w_hs300,w_nasdaq100,w_gold,w_dividend,w_cash,requested_cash_floor,hs300_trend_filter_passed,nasdaq_trend_filter_passed,gold_crisis_hedge_active,cash_floor_buffer,target_cash_pct,cash_rf_daily,strategy_return,benchmark_return,strategy_nav,benchmark_nav,strategy_drawdown,benchmark_drawdown,high_cash_defense_mode
2018-01-02,0.014720314033366266,-0.004934948407357642,0.005539143279172709,0.014506769825918697,4.136,2.218,2.723,3.147,3.1167438596491226,3.9008,0.16,0.0,0.2,0.08,0.56,0.4,False,False,True,0.16000000000000003,0.56,0.000156032,0.004710998407246641,0.014720314033366266,1.0047109984072466,1.0147203140333663,0.0,0.0,True
2018-01-03,0.005319148936170359,0.01352569882777277,0.0036724201248623523,0.004766444232602529,4.158,2.248,2.733,3.162,3.067040223463687,3.9162,0.16,0.0,0.2,0.08,0.56,0.4,False,False,True,0.16000000000000003,0.56,0.000156032,0.00205424131336793,0.005319148936170359,1.00677491724817,1.0201177625122673,0.0,0.0,True
2018-01-04,0.0031265031265030885,0.003558718861209842,-0.005122575923893202,0.00031625553447178767,4.171,2.256,2.719,3.163,3.027042240779402,3.9319,0.16,0.0,0.2,0.08,0.56,0.4,False,False,True,0.16000000000000003,0.56,0.000156648,-0.0004112513617804032,0.0031265031265030885,1.0063608796924453,1.0233071638861633,-0.0004112513617804403,0.0,True
2018-01-05,0.0038360105490289342,-0.0026595744680849576,0.0033100404560502117,0.010116977552956152,4.187,2.25,2.728,3.195,3.018425260235947,3.9212,0.16,0.0,0.2,0.08,0.56,0.4,False,False,True,0.16000000000000003,0.56,0.000157276,0.002173202543291164,0.0038360105490289342,1.0085479057156617,1.0272325809617275,0.0,0.0,True
2018-01-08,0.004060186290900214,0.008000000000000007,0.0007331378299120228,0.006885758998435021,4.204,2.268,2.73,3.217,2.99985003455425,3.911,0.16,0.0,0.2,0.08,0.56,0.4,False,False,True,0.16000000000000003,0.56,0.00015684799999999999,0.0014349529724012404,0.004060186290900214,1.0099951245307772,1.0314033366045143,0.0,0.0,True
2018-01-09,0.008087535680304736,0.002645502645502784,0.00219780219780219,-0.0003108486167235913,4.238,2.274,2.736,3.216,2.996152341597796,3.8909,0.16,0.0,0.2,0.08,0.56,0.4,False,False,True,0.16000000000000003,0.56,0.00015643999999999999,0.0017963046590713087,0.008087535680304736,1.011809383478611,1.0397448478900886,0.0,0.0,True
2018-01-10,0.004247286455875354,0.004837291116974507,-0.0025584795321638154,0.003109452736318241,4.256,2.285,2.729,3.226,2.9151699931647292,3.9201,0.16,0.0,0.2,0.08,0.56,0.4,False,False,True,0.16000000000000003,0.56,0.00015563599999999999,0.0005037823054127528,0.004247286455875354,1.0123191151424582,1.0441609421000984,0.0,0.0,True
2018-01-11,-0.0014097744360902498,-0.0008752735229760056,0.0018321729571271206,-0.002479851208927464,4.25,2.283,2.734,3.218,2.871338566552901,3.9546,0.16,0.0,0.2,0.08,0.56,0.4,False,False,True,0.16000000000000003,0.56,0.000156804,3.029282493678708e-05,-0.0014097744360902498,1.0123497811481934,1.0426889106967616,0.0,-0.0014097744360903608,True
2018-01-12,0.005411764705882227,0.012702584318878607,0.014630577907827291,0.0024860161591049312,4.273,2.312,2.774,3.226,2.8690210884353746,3.9337,0.16,0.0,0.2,0.08,0.56,0.4,False,False,True,0.16000000000000003,0.56,0.000158184,0.00407946226723501,0.005411764705882227,1.0164796238816312,1.0483316977428851,0.0,0.0,True
2018-01-15,-0.0018722209220688457,-0.0012975778546711059,0.0032444124008650377,-0.0015499070055796649,4.265,2.309,2.783,3.221,2.8284782608695647,3.965,0.16,0.0,0.2,0.08,0.56,0.4,False,False,True,0.16000000000000003,0.56,0.000157348,0.0003134494521956191,-0.0018722209220688457,1.0167982388629049,1.046368989205103,0.0,-0.0018722209220689567,True
